pathogen,disease,symptoms
Campylobacter jejuni,Dysentery,"limb weakness,  loss of tendon reflex,  neurological dysfunction,  paralysis,  respiratory failure,  abdominal pain,  hemorrhagic diarrhea,  cramp,  fever,  nausea,  vomiting,  bloody stool, limb weakness,"
Campylobacter jejuni RM1221,Campylobacteriosis,
Campylobacter jejuni subsp. Jejuni,Gastroenteritis; bacteraemia,"areflexia,  ataxia,  ophthalmoplegia,"
Campylobacter jejuni subsp. doylei,Campylobacteriosis;Gastroenteritis; bacteraemia,
Campylobacter jejuni subsp. jejuni,Gastroenteritis; bacteraemia,"areflexia,  ataxia,  ophthalmoplegia,"
Campylobacter lari,"Diarrhoea, bacteraemia, abscess",
Campylobacter mucosalis,"Gastroenteritis, bacteraemia",
Campylobacter rectus,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
Campylobacter showae,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
Campylobacter sputorum,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
Campylobacter upsaliensis,"Diarrhoea, bacteraemia, abscess",
Campylobacter ureolyticus,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Candida africana,,
Candida albicans,,
Candida dubliniensis,,
Candida glabrata,,
Candida haemulonis,,
Candida intermedia,,
Candida magnoliae,,
Candida metapsilosis,,
Candida nivariensis,,
Candida orthopsilosis,,
Candida parapsilosis,,
Candida pararugosa,,
Candida pseudoaaseri,,
Candida pseudohaemulonii,,
Candida subhashii,,
Candida tropicalis,,
Candida viswanathii,,
Candida zeylanoides,,
Candidatus Helicobacter bovis,Gastritis,
Candiru phlebovirus,,
Cano Delgadito orthohantavirus,,
Cao Bang orthohantavirus,,
Capim orthobunyavirus,,
Capnocytophaga canimorsus,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
Capnocytophaga cynodegmi,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
Capnocytophaga gingivalis,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
Capnocytophaga granulosa,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
Capnocytophaga haemolytica,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
Capnocytophaga ochracea,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
Capnocytophaga sputigena,"Wound infection, septicaemia, abscesses, meningitis, endocarditis, periodontitis, septicaemia",
Caraparu orthobunyavirus,,
Cardiobacterium hominis,"Endocarditis, meningitis",
Cardiobacterium valvarum,"Endocarditis, meningitis",
Cardiovirus A,,
Catonella morbi,"Periodontitis, endodontic infection",
Cedar henipavirus,,
Cedecea davisae,Bacteraemia,
Cedecea lapagei,Bacteraemia,
Cedecea neteri,Bacteraemia,
Cell fusing agent virus,,
Cellulomonas denverensis,"Bacteraemia, meningitis, pilonidal abscess, wound infection, homograft valve infection",
Cellulomonas hominis,"Bacteraemia, meningitis, pilonidal abscess, wound infection, homograft valve infection",
Cellulosimicrobium cellulans,"Meningitis, pyonephrosis, CAPD peritonitis, endophthalmitis",
Cellulosimicrobium funkei,"Meningitis, pyonephrosis, CAPD peritonitis, endophthalmitis",
Centipeda periodontii,Periodontitis,
Cephaliophora irregularis,,
Cephalotheca foveolata,,
Chaetomium globosum,,
Chaetomium perlucidum,,
Chandipura vesiculovirus,,
Chaoyang virus,,
Chapare mammarenavirus,Chapare hemorrhagic fever,
Chatanga virus,,
Chikungunya virus,,
Chlamydia abortus,Abortion,
Chlamydia pneumoniae,Chest infection,
Chlamydia psittaci,Psittacosis,
Chlamydia trachomatis,trachoma;inclusion conjunctivitis;lymphogranuloma venereum;Trachoma; genital infection; neonatal infection; lymphogranuloma venereum,
Chlamydoabsidia padenii,,
Chlamydophila psittaci,Psittacosis,"chills,  delirium,  dry cough,  fever,  headache,  hepatitis,  muscles ache,  pneumonia,  renal involvement,  respiratory failure,  severe headache,  depression,  loss of appetite,  nasal discharge,  ruffled feather,  weakness,  weight loss,  yellowish green diarrhea,  anorexia,  yellow dropping, chills,"
Chlamydophila psittaci 6BC,Psittacosis,
Chromobacterium violaceum,"Septicaemia, osteomyelitis, abscesses, eye infection",
Chryseobacterium gleum,"Bacteraemia, abdominal sepsis, vascular catheter sepsis",
Chryseobacterium indologenes,"Bacteraemia, abdominal sepsis, vascular catheter sepsis",
Chrysops,tularemia,
Chrysosporium parvum,adiaspiromycosis,
Chrysosporium tropicum,,
Citrobacter amalonaticus,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter braakii,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter farmeri,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter freundii,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter gillenii,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter koseri,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter murliniae,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter rodentium,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter sedlakii,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter werkmanii,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Citrobacter youngae,"UTI, meningitis, bacteraemia, haemolytic–uraemic syndrome",
Cladophialophora arxii,,
Cladophialophora bantiana,phaeohyphomycosis,
Cladophialophora boppii,,
Cladophialophora carrionii,,
Cladophialophora devriesii,,
Cladophialophora emmonsii,,
Cladophialophora immunda,,
Cladophialophora modesta,,
Cladophialophora mycetomatis,,
Cladophialophora samoensis,,
Cladophialophora saturnica,,
Cladosporium,phaeohyphomycosis,
Cladosporium cladosporioides,,
Cladosporium herbarum,,
Cladosporium oxysporum,,
Cladosporium sphaerospermum,,
Clavispora lusitaniae,,
Clo Mor virus,,
Clostridioides difficile,"Diarrhoea, pseudomembranous colitis",
Clostridium argentinense,"Wound infection, bacteraemia, abscesses",
Clostridium baratii,"Wound infection, bacteraemia, abscesses",
Clostridium beijerinckii,"Wound infection, bacteraemia, abscesses",
Clostridium bolteae,"Wound infection, bacteraemia, abscesses",
Clostridium botulinum,Botulism;Botulism,"abdominal cramp,  disturbed vision,  constipation,  diarrhea,  double vision,  dry mouth,  dysarthria,  dysphagia,  dysphonia,  nausea,  neurological and physiological symptom,  paralysis,  peripheral muscle weakness,  respiratory paralysis,  vertigo,  vomiting,  afebrile,  bradykinesia,  change in skin color,  decreased motor response,  decreased sucking,  diminished gastro-intestinal motility,  diminished spontaneous movement,  dry mucous membrane,  floppy head,  fluctuation of heart rate,  poor feeding,  progressive weakness,  urinary retention,  weak cry, abdominal cramp,"
Clostridium botulinum ,Wound botulism;Botulism,
Clostridium botulinum A,Wound botulism,"abdominal pain,  acute cranial nerve dysfunction,  disturbed vision,  colicky pain,  dizziness,  double vision,  dry mouth,  dysphagia,  dyspnea,  facial paralysis,  gastroenteritis,  impaired gag reflex,  limb weakness,  motor weakness,  nausea,  palate weakness,  ptosis,  slurred speech,  vomiting,  absent gag reflex,  cranial nerve palsies,  diminished gag reflex,  dysarthria,  ophthalmoplegia,  arm weakness,  deltoid muscle weakness,  facial weakness,  multiple abscesses,  neck weakness,  proximal paralysis of arm and leg,  sternocleidomastoid weakness, abdominal pain,"
Clostridium botulinum A2 str. Kyoto,Infant botulism,
Clostridium botulinum A3,Foodborne botulism,
Clostridium botulinum B,Infant botulism,
Clostridium botulinum B1,Foodborne botulism,
Clostridium botulinum Ba4,Infant botulism,
Clostridium botulinum Bf ,Infant botulism,
Clostridium botulinum C,Botulism,"abnormal posture,  cramp,  decreased appetite,  diarrhea,  dyspnea,  excess salivation,  eye discharge,  flaccid muscle tone,  hind limb paralysis,  paraplegia,  recumbency,  wobble,  ataxia,  extraocular muscles paralysis,  fixed dilated pupils,  inability to swallow, abnormal posture,"
Clostridium botulinum D,Botulism,"ataxia,  congestion,  hyperemia,  proteinuria, ataxia,"
Clostridium botulinum E,,"abdominal pain,  disturbed vision,  bradycardia,  constipation,  diarrhea,  dilated pupil,  dizziness,  double vision,  dry mouth,  dysarthria,  dysphagia,  dysphonia,  dyspnea,  fixed pupil,  hoarse voice,  hypotension,  mild hypotension,  nausea,  occasional diplopia,  profound weakness,  ptosis,  throat pain,  unreactive mydriasis,  urinary retention,  vomiting, abdominal pain,"
Clostridium botulinum E1,Foodborne botulism,
Clostridium botulinum F,Hidden botulism,
Clostridium butyricum,"Wound infection, bacteraemia, abscesses",
Clostridium cadaveris,"Wound infection, bacteraemia, abscesses",
Clostridium carnis,"Wound infection, bacteraemia, abscesses",
Clostridium celatum,"Wound infection, bacteraemia, abscesses",
Clostridium clostridioforme,"Wound infection, bacteraemia, abscesses",
Clostridium cochlearium,"Wound infection, bacteraemia, abscesses",
Clostridium cocleatum,"Wound infection, bacteraemia, abscesses",
Clostridium fallax,"Wound infection, bacteraemia, abscesses",
Clostridium haemolyticum,"Wound infection, bacteraemia, abscesses",
Clostridium indolis,"Wound infection, bacteraemia, abscesses",
Clostridium innocuum,"Wound infection, bacteraemia, abscesses",
Clostridium leptum,"Wound infection, bacteraemia, abscesses",
Clostridium malenominatum,"Wound infection, bacteraemia, abscesses",
Clostridium moniliforme,"Wounds, abscesses, septicaemia, periodontitis",
Clostridium novyi,"Wound infection, bacteraemia, abscesses",
Clostridium paraputrificum,"Wound infection, bacteraemia, abscesses",
Clostridium perfringens,Enteritis;gas gangrene;Food poisoning; necrotizing enterocolitis; gas gangrene,"anemia,  anxiety,  coma,  low blood pressure,  fever,  flatulence,  hemolysis,  hypotension,  leukopenia,  muscle necrosis,  renal failure,  shock,  sweat,  toxemia,  abdominal cramp,  diarrhea,  nausea,  vomiting,  abnormal heart rhythms,  chest pain,  dyspnea,  fatigue,  inability to lie flat,  joint pain,  joint inflammation,  leg swelling,  abdominal pain,  acute painful vision loss,  chills,  cloudy cornea,  dilated pupil,  hypopyon,  intraretinal hemorrhage,  moderate conjuctival injection,  palpebral edema,  abdominal discomfort,  abdominal distention,  anorexia,  decreased milk production,  depression,  distended loops of intestines on rectal,  melena, anemia,"
Clostridium perfringens A,Necrotic Enteritis,"abdominal pain,  diarrhea,  dehydration,  nausea,  vomiting,  decreased appetite,  depression,  drowsiness,  ruffled feather,  hemorrhagic diarrhea,  hematemesis, abdominal pain,"
Clostridium perfringens ATCC 13124,Gas Gangrene,
Clostridium perfringens B,Enterotoxemia,"pericardial effusion,  pulmonary edema, pericardial effusion,"
Clostridium perfringens C,Pigbel,"abdominal pain,  hemorrhagic diarrhea,  necrosis of jejunum,  inflammation,  ischemic necrosis of jejunum,  decreased appetite,  dehydration,  depression,  drowsiness,  ruffled feather,  colic, abdominal pain,"
Clostridium perfringens D,Enterocolitis,"pericardial effusion,  pulmonary edema, pericardial effusion,"
Clostridium perfringens D ,Enterotoxemia,
Clostridium perfringens E,Enterotoxemia,
Clostridium perfringens SM101,Food poisoning due to Clostridium perfringens,
Clostridium perfringens str. 13,,
Clostridium piliforme,"Wound infection, bacteraemia, abscesses",
Clostridium putrefaciens,"Wound infection, bacteraemia, abscesses",
Clostridium sardiniense,"Wound infection, bacteraemia, abscesses",
Clostridium septicum,"Wound infection, bacteraemia, abscesses",
Clostridium sphenoides,"Wound infection, bacteraemia, abscesses",
Clostridium sporogenes,"Wound infection, bacteraemia, abscesses",
Clostridium subterminale,"Wound infection, bacteraemia, abscesses",
Clostridium symbiosum,"Wound infection, bacteraemia, abscesses",
Clostridium tertium,"Wound infection, bacteraemia, abscesses",
Clostridium tetani,tetanus;Tetanus,
Coccidioides immitis,coccidioidomycosis,
Coccidioides posadasii,,
Cochliobolus pallescens,,
Cokeromyces recurvatus,,
Colletotrichum acutatum,,
Colletotrichum coccodes,,
Colletotrichum crassipes,,
Colletotrichum dematium,,
Colletotrichum falcatum,,
Colletotrichum gloeosporioides,,
Colletotrichum truncatum,,
Collinsella aerofaciens,From faecal flora. Clinical significance is undefined,
Colorado tick fever virus,Colorado tick fever,
Comamonas terrigena,"Bacteraemia, UTI, conjunctivitis, endocarditis, wound infection, abdominal abscess, peritonitis, meningitis",
Comamonas testosteroni,"Bacteraemia, UTI, conjunctivitis, endocarditis, wound infection, abdominal abscess, peritonitis, meningitis",
Conidiobolus coronatus,,
Conidiobolus incongruus,,
Conidiobolus lamprauges,,
Coniochaeta ligniaria,,
Coniochaeta lignicola,,
Coniochaeta mutabilis,,
Coprinopsis cinerea,,
Cordyceps staphylinidicola,,
Corynebacterium accolens,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium afermentans,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium amycolatum,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium appendicis,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium argentoratense,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium atypicum,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium aurimucosum,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium auris,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium bovis,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium confusum,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium coyleae,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium diphtheriae,"Diphtheria, cutaneous infection",
Corynebacterium durum,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium falsenii,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium freneyi,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses",
Corynebacterium glucuronolyticum,"Diphtheria, cutaneous infection",
Corynebacterium imitans,"Diphtheria, cutaneous infection",
Corynebacterium jeikeium,"Diphtheria, cutaneous infection",
Corynebacterium kroppenstedtii,"Diphtheria, cutaneous infection",
Corynebacterium kutscheri,"Diphtheria, cutaneous infection",
Corynebacterium lipophiloflavum,"Diphtheria, cutaneous infection",
Corynebacterium macginleyi,"Diphtheria, cutaneous infection",
Corynebacterium matruchotii,"Diphtheria, cutaneous infection",
Corynebacterium minutissimum,"Erythrasma, bacteraemia, endocarditis",
Corynebacterium mucifaciens,"Diphtheria, cutaneous infection",
Corynebacterium mycetoides,"Tropical ulcer, septicaemia",
Corynebacterium pilosum,"Diphtheria, cutaneous infection",
Corynebacterium propinquum,"Diphtheria, cutaneous infection",
Corynebacterium pseudodiphtheriticum,"UTI, endocarditis, lymphadenopathy, necrotizing tracheitis",
Corynebacterium pseudotuberculosis,"Lymphadenitis, pulmonary infection",
Corynebacterium renale,"Diphtheria, cutaneous infection",
Corynebacterium resistens,"Diphtheria, cutaneous infection",
Corynebacterium riegelii,"Diphtheria, cutaneous infection",
Corynebacterium singulare,"Diphtheria, cutaneous infection",
Corynebacterium sp. 3010,"Diphtheria, cutaneous infection",
Corynebacterium striatum,"Diphtheria, cutaneous infection",
Corynebacterium sundsvallense,"Diphtheria, cutaneous infection",
Corynebacterium thomssenii,"Diphtheria, cutaneous infection",
Corynebacterium tuberculostearicum,"Diphtheria, cutaneous infection",
Corynebacterium tuscaniense,"Diphtheria, cutaneous infection",
Corynebacterium ulcerans,"Diphtheria-like disease, pharyngitis",
Corynebacterium urealyticum,"Diphtheria, cutaneous infection",
Corynebacterium vitaeruminis,Associated with aortic aneurysm,
Corynebacterium xerosis,"Diphtheria, cutaneous infection",
Corynespora cassiicola,,
Cosavirus A,,
Cote d'Ivoire ebolavirus,Ebola virus disease,
Cowpox virus,cowpox,
Coxiella burnetii,Q fever;Q fever,"chills,  fatigue,  fever,  headache,  heart failure,  myalgia,  rash,  renal failure,  sweat,  anorexia,  malaise,  night sweats,  weakness,  weight loss,  bronchopneumonia,  infertility,  low birth weight,  abortion,  hypoxemia,  abdominal pain,  diarrhea,  nausea,  vomiting, chills,"
Coxiella burnetii RSA 493,,"chronic fatigue syndrome,  cyclic fever,  headache, chronic fatigue syndrome,"
Coxsackievirus,herpangina,
Coxsackievirus A16,hand foot and mouth disease;herpangina,
Coxsackievirus A24,acute hemorrhagic conjunctivitis,
Crimean-Congo hemorrhagic fever orthonairovirus,,
Crimean-Congo hemorrhagic fever virus,,"fever,  myalgia,  backache,  headache,  sore eyes,  photophobia,  dizziness,  neck pain,  stiff neck,  diarrhea,  nausea,  vomiting,  hyperemia of the face,  hyperemia of the neck,  hyperemia of the chest,  congested sclera, fever,"
Cronobacter sakazakii,"Bacteraemia, respiratory tract infections, UTI",
Crustacea,shellfish allergy;crustacean allergy,
Cryptobacterium curtum,Periodontitis,
Cryptococcus ater,,
Cryptococcus gattii VGIII,,
Cryptococcus neoformans,,
Culex,Western equine encephalitis;St. Louis encephalitis;West Nile fever;Venezuelan equine encephalitis,
Culex <genus>,West Nile encephalitis;Ross River fever,
Culex annulirostris,Kunjin encephalitis;Murray Valley encephalitis,
Culex flavivirus,,
Culex tritaeniorhynchus,Japanese encephalitis,
Culicoides <genus>,Oropouche fever,
Cunninghamella bertholletiae,,
Cupixi mammarenavirus,,
Cupriavidus gilardii,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
Cupriavidus pauculus,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
Cupriavidus respiraculi,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
Cupriavidus taiwanensis,"Meningitis, pulmonary infection in cystic fibrosis, line sepsis",
Curvularia brachyspora,,
Curvularia clavata,,
Curvularia geniculata,,
Curvularia hawaiiensis,,
Curvularia inaequalis,,
Curvularia lunata,,
Curvularia papendorfii,,
Curvularia senegalensis,,
Curvularia spicifera,,
Curvularia tsudae,,
Curvularia verruculosa,,
Cutaneotrichosporon curvatus,,
Cutaneotrichosporon cutaneum,,
Cutaneotrichosporon mucoides,,
Cutibacterium acnes,"Abscesses, endocarditis, bacteraemia, septic arthritis, endophthalmitis",
Cutibacterium avidum,"Abscesses, endocarditis, bacteraemia, septic arthritis, endophthalmitis",
Cutibacterium granulosum,"Abscesses, endocarditis, bacteraemia, septic arthritis, endophthalmitis",
Cyberlindnera fabianii,,
Cyberlindnera jadinii,,
Cyniclomyces guttulatus,,
Cyphellophora europaea,,
Cyphellophora laciniata,,
Cyphellophora oxyspora,,
Cyphellophora pluriseptata,,
Cyphellophora reptans,,
Cyphellophora suttonii,,
Cystobasidium minutum,,
Cystofilobasidium macerans,,
Danio rerio,zebrafish allergy,
Debaryomyces hansenii,,
Delftia acidovorans,"Bacteraemia, endocarditis",
Dengue virus,Dengue hemorrhagic fever,"fever,  nausea,  vomiting,  abdominal pain,  headache,  hemorrhage,  gum bleeding,  nasal bleeding,  sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  rash,  shock, fever,"
Dengue virus ,Dengue hemorrhagic fever,"fever,  nausea,  vomiting,  abdominal pain,  headache,  hemorrhage,  gum bleeding,  nasal bleeding,  shock, fever,"
Dengue virus 1,Dengue,"sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  vomiting,  rash,  nausea,  abdominal pain,  hemorrhage,  gum bleeding,  nasal bleeding,  shock, sudden onset of fever,"
Dengue virus 2,,"sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  vomiting,  rash,  nausea,  abdominal pain,  hemorrhage,  gum bleeding,  nasal bleeding,  shock, sudden onset of fever,"
Dengue virus 3,undocumented,"fever,  nausea,  vomiting,  abdominal pain,  headache,  hemorrhage,  gum bleeding,  nasal bleeding,  sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  rash,  shock, fever,"
Dengue virus 4,,"sudden onset of fever,  severe headache,  myalgia,  joint pain,  leukopenia,  thrombocytopenia,  vomiting,  rash,  nausea,  abdominal pain,  hemorrhage,  gum bleeding,  nasal bleeding, sudden onset of fever,"
Dera Ghazi Khan orthonairovirus,,
Dermabacter hominis,"Brain abscess, bacteraemia, wound infection",
Dermacentor,Japanese spotted fever;Omsk hemorrhagic fever,
Dermacentor andersoni,Rocky Mountain spotted fever;Colorado tick fever,
Dermacentor marginatus,Siberian tick typhus,
Dermacentor variabilis,Rocky Mountain spotted fever;tularemia,
Dermacoccus sp.,Associated with aortic aneurysm,
Dermatophilus congolensis,Cutaneous infection,
Desulfomicrobium orale,Periodontitis,
Desulfovibrio desulfuricans,"Bacteraemia, liver abscess",
Desulfovibrio fairfieldensis,Cultured from urine of patient with UTI and meningoencephalitis,
Desulfovibrio piger,"Pilonidal cyst abscess, peritonitis",
Desulfovibrio vulgaris,"Bacteraemia, liver abscess",
Dhori virus,,
Dialister invisus,"Periodontitis, endodontic infection, bacteraemia",
Dialister micraerophilus,"Periodontitis, endodontic infection, bacteraemia",
Dialister pneumosintes,"Periodontitis, endodontic infection, bacteraemia",
Dialister propionicifaciens,"Periodontitis, endodontic infection, bacteraemia",
Dialonectria episphaeria,,
Dichelobacter nodosus,"Pilonidal cyst, rectal fistula, wound infection",
Dichotomophthora portulacae,,
Dichotomopilus funicola,,
Didymella glomerata,,
Dietzia maris,"Prosthetic hip infection, bacteraemia",
Diutina catenulata,,
Diutina pseudorugosa,,
Diutina rugosa,,
Dobrava-Belgrade orthohantavirus,,
Dobrava-Belgrade virus,hemorrhagic fever with renal syndrome;Balkan hemorrhagic fever,
Dolosicoccus paucivorans,Bacteraemia,
Dolosigranulum pigrum,"Spinal cord infection, eye infection",
Donggang virus,,
Drechslera biseptata,,
Dugbe orthonairovirus,,
Duvenhage lyssavirus,,
Dysgonomonas capnocytophagoides,"Diarrhoea, bacteraemia, abscess",
Dysgonomonas gadei,"Diarrhoea, bacteraemia, abscess",
Dysgonomonas mossii,"Diarrhoea, bacteraemia, abscess",
Eastern equine encephalitis virus,Eastern equine encephalitis,
Ebola-like viruses,Ebola virus disease,
Edge Hill virus,,
Edwardsiella hoshinae,"Wound infection, abscesses, gastroenteritis",
Edwardsiella ictaluri,"Wound infection, abscesses, gastroenteritis",
Edwardsiella tarda,"Wound infection, abscesses, gastroenteritis",
Eggerthella lenta,"Rectal abscess, bacteraemia",
Eggerthella sinensis,"Rectal abscess, bacteraemia",
Eggerthia catenaformis,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
Ehrlichia chaffeensis,human monocytic ehrlichiosis;ehrlichiosis;Ehrlichiosis,
Ehrlichia ewingii,Ehrlichiosis,
Eikenella corrodens,"Septicaemia, endocarditis, abscesses, septic arthritis",
Elizabethkingia meningoseptica,"Meningitis, bacteraemia, endocarditis, necrotizing fasciitis, pneumonia",
Emergomyces pasteurianus,,
Emmonsia crescens,adiaspiromycosis,
Emmonsia parva,,
Empedobacter brevis,"Endophthalmitis, bacteraemia, UTI",
Empedobacter falsenii,"Bacteraemia, wound infection",
Encephalitozoon cuniculi,encephalitozoonosis,
Encephalitozoon hellem,encephalitozoonosis,
Encephalitozoon intestinalis,encephalitozoonosis,
Enterobacter asburiae,"Bacteraemia, respiratory tract infections, UTI",
Enterobacter cancerogenus,"Bacteraemia, respiratory tract infections, UTI",
Enterobacter cloacae,"Bacteraemia, respiratory tract infections, UTI",
Enterobacter hormaechei,"Bacteraemia, respiratory tract infections, UTI",
Enterobacter kobei,"Bacteraemia, respiratory tract infections, UTI",
Enterobacter ludwigii,"Bacteraemia, respiratory tract infections, UTI",
Enterococcus avium,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus casseliflavus,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus cecorum,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus dispar,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus durans,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus faecalis,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus faecium,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus gallinarum,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus gilvus,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus hirae,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus malodoratus,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus mundtii,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus pallens,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus pseudoavium,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterococcus raffinosus,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Enterovirus A,,
Enterovirus A71,hand foot and mouth disease;herpangina,
Enterovirus B,epidemic pleurodynia,
Enterovirus C,,
Enterovirus D,,
Epicoccum sorghinum,,
Epidermophyton,tinea pedis,
Epidermophyton floccosum,,
Erwinia persicina,UTI,
Erysipelatoclostridium ramosum,"Wound infection, bacteraemia, abscesses",
Erysipelothrix rhusiopathiae,erysipeloid;Erysipeloid; septicaemia; endocarditis,
Escherichia albertii,Diarrhoea,
Escherichia coli,Traveler's diarrhea;UTI; bacteraemia; wound infection; meningitis; enteric infection; haemolytic fluoroquinolones; uraemic syndrome,"acute renal failure,  microangiopathic hemolytic anemia,  thrombocytopenia, acute renal failure,"
Escherichia coli ,Diarrhea;UTI; bacteraemia; wound infection; meningitis; enteric infection; haemolytic fluoroquinolones; uraemic syndrome,
Escherichia coli 042,Diarrhea,
Escherichia coli 101-1,Gastrointestinal infections,
Escherichia coli 53638,Dysentery,
Escherichia coli B171,Diarrhea,
Escherichia coli B7A,Diarrhea,
Escherichia coli CFT073,Urinary tract infection,
Escherichia coli E110019,Diarrhea,
Escherichia coli E22,Gastrointestinal infections,
Escherichia coli E2348/69,Diarrhea,
Escherichia coli E24377A,Gastrointestinal infections,
Escherichia coli EAEC 042,Diarrhea,
Escherichia coli ETEC H10407,Diarrhea,
Escherichia coli F11,Cystitis,
Escherichia coli O103:H2,unknown,
Escherichia coli O103:HNM,unknown,
Escherichia coli O111:H-,Hemolytic-uremic syndrome,
